Type,Name/Code,Username,Password,Zone,Dealer ID
Mother Warehouse,Admin HQ,admin@maruti.com,admin123,,
Regional Distributor,North Region,manager_north@maruti.com,Tv1MAXF1,North,
Regional Distributor,East Region,manager_east@maruti.com,4VRwMPeW,East,
Regional Distributor,West Region,manager_west@maruti.com,pdkUwrpZ,West,
Regional Distributor,South Region,manager_south@maruti.com,XYJdnpTE,South,
Regional Distributor,Central Region,manager_central@maruti.com,dJUDU2lS,Central,
Dealership,Maruti Dealer 01,dlr_maruti_dlr001@maruti.com,rOB3OILZ,South,DLR001
Dealership,Maruti Dealer 02,dlr_maruti_dlr002@maruti.com,FSL0cE2j,South,DLR002
Dealership,Maruti Dealer 03,dlr_maruti_dlr003@maruti.com,7iFrcWDt,South,DLR003
Dealership,Maruti Dealer 04,dlr_maruti_dlr004@maruti.com,OSiLdJwJ,South,DLR004
Dealership,Maruti Dealer 05,dlr_maruti_dlr005@maruti.com,y6Dp7z9c,South,DLR005
Dealership,Maruti Dealer 06,dlr_maruti_dlr006@maruti.com,bGhug1HZ,South,DLR006
Dealership,Maruti Dealer 07,dlr_maruti_dlr007@maruti.com,habcEIz0,South,DLR007
Dealership,Maruti Dealer 08,dlr_maruti_dlr008@maruti.com,ONbdrguc,South,DLR008
Dealership,Maruti Dealer 09,dlr_maruti_dlr009@maruti.com,5psB2enS,West,DLR009
Dealership,Maruti Dealer 10,dlr_maruti_dlr010@maruti.com,wdDVF8fj,West,DLR010
Dealership,Maruti Dealer 11,dlr_maruti_dlr011@maruti.com,V3VT0dNI,West,DLR011
Dealership,Maruti Dealer 12,dlr_maruti_dlr012@maruti.com,HHBxG9ON,West,DLR012
Dealership,Maruti Dealer 13,dlr_maruti_dlr013@maruti.com,LYnt22JE,West,DLR013
Dealership,Maruti Dealer 14,dlr_maruti_dlr014@maruti.com,pY19Hzkn,North,DLR014
Dealership,Maruti Dealer 15,dlr_maruti_dlr015@maruti.com,6NQrjSaM,North,DLR015
Dealership,Maruti Dealer 16,dlr_maruti_dlr016@maruti.com,ql4xiwcl,North,DLR016
Dealership,Maruti Dealer 17,dlr_maruti_dlr017@maruti.com,gYGd59Av,North,DLR017
Dealership,Maruti Dealer 18,dlr_maruti_dlr018@maruti.com,ZTGFEcHp,North,DLR018
Dealership,Maruti Dealer 19,dlr_maruti_dlr019@maruti.com,aCK2X2iJ,North,DLR019
Dealership,Maruti Dealer 20,dlr_maruti_dlr020@maruti.com,xJw5h67C,North,DLR020
Dealership,Maruti Dealer 21,dlr_maruti_dlr021@maruti.com,9eIWRiLy,East,DLR021
Dealership,Maruti Dealer 22,dlr_maruti_dlr022@maruti.com,sW4bvFx6,East,DLR022
Dealership,Maruti Dealer 23,dlr_maruti_dlr023@maruti.com,36ANqZ3a,East,DLR023
Dealership,Maruti Dealer 24,dlr_maruti_dlr024@maruti.com,KUKmfZSS,East,DLR024
Dealership,Maruti Dealer 25,dlr_maruti_dlr025@maruti.com,v0eTpDiu,East,DLR025
Dealership,Maruti Dealer 26,dlr_maruti_dlr026@maruti.com,siyAo4BB,East,DLR026
Dealership,Maruti Dealer 27,dlr_maruti_dlr027@maruti.com,9PoHRJ8k,Central,DLR027
Dealership,Maruti Dealer 28,dlr_maruti_dlr028@maruti.com,cQj70UR6,Central,DLR028
Dealership,Maruti Dealer 29,dlr_maruti_dlr029@maruti.com,5P60MSpZ,Central,DLR029
Dealership,Maruti Dealer 30,dlr_maruti_dlr030@maruti.com,KHQB17hc,South,DLR030
